Make,Model,Year,Price,Contact Number,Class,Category,Length,Hull Material
Bertram,Sport Fish,2005,579900,(877) 849-4395,Power," Sports Fishing Boats, Saltwater Fishing, Convertible Boats",63,Fiberglass
Neptunus,174 Sedan Bridge,1995,64900,(888) 397-8511,Power, Motor Yachts,63,Fiberglass
Azimut,62',2006,64900,3.86E+11,Power, Flybridge,63,Other
Azimut,62',2004,1499000,3.86E+11,Power, Flybridge,63,Other
High-Tech,Euro,1992,41500,(855) 241-0561,Power, Motor Yachts,63,Fiberglass
Hatteras,63 Motor Yacht,1987,135000,(888) 731-5028,Power," Motor Yachts, Aft Cabin, Cruisers",63,Fiberglass
Ocean,sportfish,1988,194500,(888) 474-7027,Power, Convertible Boats,63,Fiberglass
Bill Shuman,63 Power cat,2013,12000,(305) 451-5385,Power, Power Catamarans,63,Composite
Baia,Azzurra 63,2004,99500,(949) 466-6264,Power, Express Cruiser,63,Fiberglass
Bertram,63',2006,299995,(954) 330-8958,Power, Sports Fishing Boats,63,Composite
Astondoa,59',2007,549000,34952810066,Power, Flybridge,63,Fiberglass
Sunseeker,Manhattan 63,2011,69500,(305) 987-2909,Power, Flybridge,63,Fiberglass
Ocean Yachts,Sport Fisherman,1990,21900,(888) 332-7577,Power," Convertible Boats, Sports Fishing Boats, Flybridge",63,Fiberglass
Baia,Azzura 63,2003,339000,(866) 469-9640,Power, Motor Yachts,63,Fiberglass
American Custom Yachts,Sport Fisherman,1995,549000,(866) 270-9815,Power," Sports Fishing Boats, Flybridge",63,Other
Sunseeker,MANHATTAN,2012,99000,(954) 376-2670,Power, Motor Yachts,63,Fiberglass
Sunseeker,Manhattan 62,1999,675035,(888) 855-8041,Power, Motor Yachts,62,Fiberglass
Neptunus,62' Flybridge,2008,45000,(866) 270-9815,Power, Motor Yachts,62,Fiberglass
Fairline,Targa 62,2007,539000,(866) 469-9640,Power, Motor Yachts,62,Fiberglass
Catamaran Cruisers,PC 62FT CAT,2007,749995,(855) 451-5013,Power, Power Catamarans,62,Fiberglass
Ferretti,MOTOR YACHT,2011,479000,(772) 260-1628,Power," Motor Yachts, Pilothouse, Aft Cabin",62,Fiberglass
Ocean Yachts,Super Sport Enclosed Bridge,2005,319900,(561) 844-4109,Power," Convertible Boats, Sports Fishing Boats, Saltwater Fishing",62,Fiberglass
Robertson and Caine,Leopard 62,2003,119000,19542604913,Sails," Catamaran, Multi-Hulls",62,Fiberglass
Sunseeker,Predator 62,2008,1495000,(877) 430-8039,Power, Motor Yachts,62,Fiberglass
Sunseeker,Predator 62,2007,59900,(866) 594-5122,Power, Motor Yachts,62,Fiberglass
Sunseeker,Manhattan 62,1999,799995,(888) 828-6720,Power, Motor Yachts,62,Fiberglass
Sumerset,14' x 62' w/Catwalks,1975,549000,(866) 942-0885,Power, House Boats,62,Steel
Sumerset Houseboats,Houseboat,1975,399995,"
                (704) 577-0474        ",Power, Houseboat,62,ALUMINUM
Neptunus,62' Flybridge,2008,239000,(866) 270-9815,Power," Motor Yachts, Flybridge",62,Fiberglass
Itama,55',2007,189900,3.86E+11,Power, Express Cruiser,62,Other
Ocean Yachts,62 Super Sport,2002,200000,(866) 635-8009,Power," Sports Fishing Boats, Sports Cruiser, Flybridge",62,Fiberglass
CUSTOM,Forest Service Ranger Boat,1959,498790,"
                (423) 290-1931        ",Power, Commercial,62,STEEL
Fairline,Squadron 62',2001,157900,(772) 260-1628,Power," Motor Yachts, Aft Cabin, Sports Cruiser",62,Fiberglass
Pershing,62',2008,785000,(954) 931-2230,Power," Cruisers, Express Cruiser",62,Other
Sunseeker,Predator 62,2007,274888,(888) 855-8041,Power, Express Cruiser,62,Fiberglass
Tiffany,Sport Fish w/Enclosed Bridge,1986,399900,(888) 474-7027,Power," Convertible Boats, Sports Fishing Boats",62,Composite
Azimut,62 Flybridge,2006,279000,(888) 477-6301,Power," Flybridge, Motor Yachts",62,Fiberglass
Neptunus,62' Flybridge,2008,735000,(866) 270-9815,Power," Motor Yachts, Flybridge",62,Fiberglass
Lien Hwa,Motor Yacht,1991,695000,(772) 215-0878,Power," Flybridge, Pilothouse, Mega Yachts",62,Fiberglass
Sanlorenzo,62,2007,1599450,(786) 614-5723,Power," Mega Yachts, Cruisers",62,Composite
Little Harbor,62,1982,105000,(866) 694-9091,Sails," Cutter, Cruisers",62,Fiberglass
Neptunus,Flybridge Motoryacht,2006,375000,(866) 270-9815,Power, Cruisers,62,Fiberglass
Bruce Roberts,Custom,2015,169500,(888) 573-4258,Power," Trawlers, Flybridge, Trawlers",62,Steel
Ocean,62 Super Sport,2007,146500,(888) 573-4258,Power, Sports Fishing Boats,62,Fiberglass
Azimut,62S,2008,349000,(561) 844-4109,Power, Cruisers,62,Fiberglass
Pershing,62,2005,419900,(772) 214-2393,Power," Cruisers, Motor Yachts",62,Fiberglass
Tiffany,- 62 Custom Sportfish,1986,1459000,(888) 669-8459,Power," Convertible Boats, Sports Fishing Boats, Saltwater Fishing",62,Fiberglass
Tiffany,Sportfish,1986,69000,(800) 690-5750,Power," Motor Yachts, Sports Fishing Boats, Saltwater Fishing",62,Fiberglass
Neptunus,Flybridge Motoryacht,2012,530000,(866) 270-9815,Power," Motor Yachts, Flybridge",62,Fiberglass
Ocean,Super Sport,2004,499900,(561) 844-4109,Power, Convertible Boats,62,Composite
Neptunus,Flybridge Motoryacht,2005,1699000,(866) 270-9815,Power, Cruisers,62,Fiberglass
Ferretti Yachts,62',2013,29900,(786) 514-4574,Power, Motor Yachts,62,Fiberglass
Lakeview,15 x 62WB Houseboat,2000,2000000,(866) 238-6463,Power, House Boats,62,Aluminum
Pershing,62',2014,399900,(305) 710-3952,Power, Motor Yachts,62,Other
Sumerset,Houseboat,1985,399990,(888) 541-8907,Power, House Boats,62,Aluminum
Ocean Yachts,62 Super Sport,2002,2975000,(866) 477-4857,Power," Convertible Boats, Flybridge, Sports Fishing Boats",62,Fiberglass
Custom Ketch,CRUISING SAILBOAT,2014,375000,(863) 514-3752,Sails," Cruisers, Ketch",62,Wood
Prestige,62,2013,1240000,(561) 296-9800,Power, Flybridge,62,Fiberglass
Viking Yachts,62 Convertible,2015,120000,(888) 225-1630,Power, Sports Fishing Boats,62,Fiberglass
Azimut,62S BEST PRICE 62s,2008,9999,(866) 340-4335,Power," Cuddy Cabin, Express Cruiser, High Performance Boats",62,Fiberglass
Ferretti Yachts,620,2001,511824,(877) 430-8039,Power, Motor Yachts,62,Fiberglass
Sunseeker,MANHATTAN,1996,399000,(888) 332-7577,Power, Sports Cruiser,62,Fiberglass
Neptunus,Flybridge,2006,138000,(843) 789-0357,Power, Motor Yachts,62,Fiberglass
Offshore,Raised Pilothouse,2013,489000,(866) 694-9091,Power, Motor Yachts,62,Fiberglass
16x62 Jamestowner,Houseboat,1992,95000,(888) 541-8907,Power, House Boats,62,Aluminum
Offshore,62 Flushdeck,2000,27000,(877) 409-0789,Power, Motor Yachts,62,Fiberglass
Pershing,62HT (SWJ),2005,1900000,(877) 430-8039,Power," Motor Yachts, Mega Yachts",62,Aluminum
Azimut,62S,2007,39500,"
                (786) 973-4532        ",Power, Express Cruiser,62,FIBERGLASS/COMPOSITE
Predator,Predator 62,2008,340000,(888) 573-4258,Power, Other,62,Fiberglass
Azimut,Motor Yacht,2006,39500,(866) 594-5122,Power, Motor Yachts,62,Fiberglass
Sunseeker,Predator 63,1997,299000,(786) 614-5723,Power," Utility Boats, Cruisers",62,Fiberglass
Sunseeker,Manhattan 62,2000,479835,(888) 259-5978,Power," Motor Yachts, Cruisers",62,Fiberglass
Desco Marine,Trawler,1979,362542,(866) 461-6540,Power, Trawlers,62,Wood
Neptunus,Flybridge,2004,65000,(866) 270-9815,Power, Motor Yachts,62,Fiberglass
Azimut,62 Flybridge,2005,399000,(888) 573-4258,Power," Flybridge, Motor Yachts, Flybridge",62,Fiberglass
LAKEVIEW YACHTS,62X14,1997,186602,(888) 501-7927,Power, House Boats,62,Aluminum
Sumerset,Wide Body,1993,1495000,(866) 539-5563,Power, House Boats,62,Aluminum
Ocean Yachts,Super Sport,2002,699000,(888) 474-7027,Power," Convertible Boats, Saltwater Fishing",62,Fiberglass
McDermott,62 Custom,1969,45000,(800) 633-7172,Power," Commercial Boats, Motor Yachts",62,Steel
Azimut,62S,2010,549000,(855) 451-5013,Power, Express Cruiser,62,Fiberglass
Breaux Bay Craft,Custom Yacht finish,1982,149900,(866) 477-4857,Power," Commercial Boats, Dive Boat, Passenger",62,Aluminum
Striker,62 SF,1987,385000,(888) 573-4258,Power," Sports Fishing Boats, Motor Yachts, Saltwater Fishing",62,Aluminum
Sumerset,Office Barge,1989,199900,(888) 285-1328,Power, Barge,62,Aluminum
Carpenter Custom Yachts,Van Ki Pass,1992,379000,(860) 536-7776,Sails," Racers and Cruisers, Racers",62,Wood
Aicon,62 Sport Coupe,2008,750000,(866) 469-9640,Power," Express Cruiser, Motor Yachts",62,Fiberglass
Ocean,Super Sport,2002,325000,(888) 837-0401,Power," Sports Fishing Boats, Flybridge, Convertible Boats",62,Fiberglass
Otam,MILLENIUM 55',2000,1075000,3.00E+12,Power, Express Cruiser,62,Other
Neptunus,62' Flybridge,2008,188212,(866) 270-9815,Power," Motor Yachts, Flybridge",62,Fiberglass
Princess,V62,2011,559000,(239) 699-6820,Power," Cruisers, Motor Yachts",62,Fiberglass
Buddy Davis,61 MOTORYACHT,1988,459000,(305) 987-2909,Power, Motor Yachts,61,Fiberglass
Allmand,Sea Royal Luxury Yacht 61ft,2016,549000,(866) 855-1615,Power, Mega Yachts,61,Other
Mikelson,Sportfisher,2006,1226245,(855) 420-9479,Power, Sports Fishing Boats,61,Fiberglass
Viking,Convertible - Mezzanine,2002,69000,(888) 472-0859,Power," Sports Fishing Boats, Convertible Boats",61,Fiberglass
Viking Princess,61 SPORT CRUISER  PRINCESS,2008,3175000,(888) 477-6301,Power," Flybridge, Sports Cruiser",61,Fiberglass
Hatteras,61 Motor Yacht,1985,299000,(800) 633-7172,Power, Motor Yachts,61,Fiberglass
Sea Ray,Sundancer,2010,269000,(954) 303-4033,Power, Mega Yachts,61,Other
Viking Yachts,61 Convertible,2001,309900,(877) 713-6275,Power," Convertible Boats, Sports Fishing Boats",61,Fiberglass
Custom Carolina Chadwick,61 convertible,2010,10000,(877) 351-4548,Power," Convertible Boats, Sports Fishing Boats, Saltwater Fishing",61,Other
Sunseeker,Predator 61,2003,200000,(888) 855-8041,Power," Sports Cruiser, Express Cruiser",61,Fiberglass
Viking Sport Cruisers,61 Motor Yacht,2003,479004,(844) 285-2224,Power, Motor Yachts,61,Fiberglass
Stephens,Flush Deck Flybridge M.Y.,1968,200000,(877) 502-1334,Power," Motor Yachts, Pilothouse",61,Wood
Buddy Davis,Sport Fisherman IMMACULATE!!!!,2000,581133,(888) 837-0401,Power," Sports Fishing Boats, Saltwater Fishing",61,Fiberglass
Hatteras,61 Cockpit Motoryacht,1984,575000,(888) 889-4244,Power, Motor Yachts,61,Fiberglass
Tollycraft,61 Pilothouse Motor Yacht,1986,1179000,(888) 474-7027,Power," Pilothouse, Motor Yachts",61,Fiberglass
Buddy Davis,61 Sportfish,1988,549000,(888) 429-0605,Power, Sports Fishing Boats,61,Fiberglass
Birchwood,61 Motor Yacht TS/54,1989,419000,(877) 899-2209,Power," Motor Yachts, Cruisers",61,Fiberglass
Sunseeker,Predator 61,2002,329000,(888) 855-8041,Power, Motor Yachts,61,Fiberglass
Mikelson,61' PILOTHOUSE SPORTFISH,2000,399000,(904) 502-2266,Power," Sports Fishing Boats, Sports Fishing Boats, Flybridge",61,Fiberglass
Sumerset,1989 14' x 61' Houseboat,1989,1695000,(877) 625-3312,Power, House Boats,61,Aluminum
Viking,61 E/B,2004,39500,(877) 421-7681,Power, Sports Fishing Boats,61,Fiberglass
Viking,61 Convertible,2001,373205,(888) 351-7761,Power," Convertible Boats, Sports Fishing Boats, Saltwater Fishing",61,Fiberglass
Sunseeker,Predator 61,2002,189900,(888) 855-8041,Power, Motor Yachts,61,Fiberglass
Viking,Convertible,2003,424500,(888) 245-1418,Power," Convertible Boats, Saltwater Fishing, Sports Fishing Boats",61,Fiberglass
Sea Ray,58 Sedan Bridge,2007,725000,(888) 832-0048,Power, Motor Yachts,61,Fiberglass
Vripack - Holland,Motorsailer,1982,930000,(866) 694-9091,Power," Motorsailers, Trawlers, Pilothouse",61,Steel
Hatteras,12V71 TI,1982,1659000,(866) 270-9815,Power, Motor Yachts,61,Fiberglass
Davis / Jarrett Bay Custom Carolina,Convertible,2000,399000,(888) 573-4258,Power," Sports Fishing Boats, Flybridge, Convertible Boats",61,Composite
Sunseeker,Predator 61,2003,89700,(888) 855-8041,Power, Express Cruiser,61,Fiberglass
Skipperliner Custom Yacht 600,Multi Owner Houseboat,1999,349995,(866) 435-5997,Power, House Boats,60,Steel
Stardust Cruiser,Custom Houseboat,1998,629000,(866) 435-5997,Power, House Boats,60,Aluminum
Destination,Yachts 60'x16' Houseboat,2004,522487,(877) 900-9897,Power, House Boats,60,Aluminum
Defever,Cockpit POC,1987,679900,(877) 657-2443,Power," Trawlers, Motor Yachts, Aft Cabin",60,Fiberglass
Sea Ray,Sundancer,2006,549000,(888) 573-4258,Power, Sports Cruiser,60,Fiberglass
Darling Yachts,Freedom 60,2002,379000,(866) 695-9482,Power," Motor Yachts, House Boats",60,Aluminum
Carolina Custom Yacht,60 Convertible,2012,299900,(877) 506-1663,Power," Convertible Boats, Sports Fishing Boats",60,Composite
Marquis,59,2004,489000,(866) 503-5525,Power," Motor Yachts, Trawlers",60,Fiberglass
Kurt Hughes,KHSD 60 Catamaran,2000,68000,(866) 220-9319,Sails," Multi-Hulls, Catamaran",60,Fiberglass
Rodriguez Yachts,600 Sport,2006,349900,(888) 573-4258,Power," Motor Yachts, Express Cruiser, Sports Cruiser",60,Fiberglass
Hermes and Zeus,IF 60,2013,325000,(866) 836-9139,Power, High Performance Boats,60,Composite
Viking,60 Convertible,2008,119000,(888) 225-1630,Power," Sports Fishing Boats, Convertible Boats",60,Fiberglass
Jefferson,Marquessa 60,1987,599900,(866) 220-9319,Power, Motor Yachts,60,Fiberglass
Sundeer,Sloop,1995,139000,(888) 474-7027,Sails, Cruisers,60,Fiberglass
Stardust Cruiser,Multi Owner Houseboat,1996,155000,(866) 435-5997,Power, House Boats,60,Aluminum
Neptunus,Sedan Bridge Fresh Water,2001,249000,(888) 474-7027,Power," Motor Yachts, Flybridge",60,Fiberglass
Custom,Tri Cat Marine,2003,254950,(866) 640-9729,Power, Power Catamarans,60,Aluminum
Evinrude,E60DSLA,2014,899000,(877) 718-0897,Power, Other,60,Other
Custom,Trawler,1982,475000,(866) 461-6540,Power, Trawlers,60,Steel
Sunseeker,Predator 60,2014,499000,(888) 828-6720,Power," Motor Yachts, Express Cruiser, Cruisers",60,Fiberglass
Ferretti Yachts,590,2005,735747,(888) 855-8041,Power," Motor Yachts, Flybridge",60,Fiberglass
Sea Ray,"60 Sundancer Fresh Wtr, FLIR",2007,795000,(855) 218-5608,Power, Motor Yachts,60,Fiberglass
Princess,60 Flybridge,2015,119000,(877) 351-4548,Power, Motor Yachts,60,Fiberglass
JAMESTOWNER,60,1984,429000,(941) 914-9217,Power," House Boats, Other",60,Steel
16x60 Stephens,Houseboat,1978,699900,(888) 541-8907,Power, House Boats,60,Steel
Marquis,59 Markham Edition,2007,308900,17862920473,Power," Motor Yachts, Flybridge",60,Fiberglass
Benson,8V71,1944,54900,(888) 437-9380,Power," Pilothouse, Tug, Trawlers",60,Wood
Pacemaker,60 Flybridge,1969,419000,(941) 914-9217,Power," Other, Other",60,Wood
Lakeview,15 x 60 Houseboat,2006,449000,(888) 541-8907,Power, House Boats,60,Aluminum
MONTICELLO,16' x 60',2001,224000,(866) 271-1662,Power, House Boats,60,Aluminum
Novatec,Fast Trawler,2003,339000,(855) 822-8289,Power," Motor Yachts, Flybridge, Aft Cabin",60,Fiberglass
Viking Yachts,60 Cockpit Sports Yacht,1999,349900,(855) 760-0984,Power," Motor Yachts, Flybridge",60,Fiberglass
Benetti,62 Hershine,1998,499000,(941) 914-9217,Power," Other, Other",60,Fiberglass
Hatteras,60 Motor Yacht,2011,229000,(888) 729-8929,Power," Motor Yachts, Mega Yachts, Aft Cabin",60,Fiberglass
Alden Yachts,Custom Build #645,1937,699000,(941) 914-9217,Sails," Sloop, Schooner",60,Wood
Hatteras,Flybridge,1988,399000,(888) 573-4258,Power," Motor Yachts, Flybridge, Pilothouse",60,Fiberglass
Sea Ray,Sundancer,2006,225000,(877) 853-3622,Power," Cruisers, Express Cruiser",60,Fiberglass
Custom,Three Story Office Barge,2011,925000,(888) 285-1328,Power, Barge,60,Steel
McKinna,57 Pilothouse,2003,400000,(888) 855-8041,Power, Motor Yachts,60,Fiberglass
Hatteras,60 Convertible,1979,559000,(888) 474-7027,Power, Convertible Boats,60,Fiberglass
Yank,60,2003,349900,(941) 914-9217,Power," Other, Passenger",60,Aluminum
JAMESTOWNER,14x60 House Boat,1989,249000,(888) 851-4339,Power, House Boats,60,Aluminum
Steelhull,Stephens,1979,925000,(866) 246-9264,Power, House Boats,60,Steel
Tullio Abbate,60 Express,1990,47500,(203) 676-7089,Power," Express Cruiser, Sports Cruiser",60,Fiberglass
Somerset,House Boat,1987,1195000,(888) 851-4339,Power, House Boats,60,Aluminum
Auzepy Brenneur,Sloop,2008,119900,(866) 220-9319,Sails," Sloop, Cruisers",60,Aluminum
Hatteras,60 Convertible,2008,1499000,(888) 810-9073,Power," Saltwater Fishing, Convertible Boats, Sports Fishing Boats",60,Fiberglass
Canados,Canados 60,2001,335000,(888) 573-4258,Power, Flybridge,60,Fiberglass
Sea Ray,60 Sundancer,2007,850000,(877) 470-5636,Power, Motor Yachts,60,Fiberglass
Hatteras,60 Motor Yacht,2014,189900,(866) 269-0990,Power, Motor Yachts,60,Fiberglass
Sunreef,60' Loft,2015,420000,(888) 809-0083,Sails," Catamaran, Multi-Hulls",60,Composite
Sunseeker,Predator 56,2001,249900,34952810066,Power, Other,60,Fiberglass
Fountaine Pajot,Eleuthera,2004,335000,(888) 809-0083,Sails, Multi-Hulls,60,Composite
Hatteras,60 Sport Fishing,1990,399000,17862920473,Power, Sports Fishing Boats,60,Fiberglass
Gulfstream Boats,871,1984,640000,(888) 474-7027,Power," Dive Boat, Passenger",60,Aluminum
Cantieri di Sarnico,60' OPERA,2010,242990,(216) 272-0095,Power," Cruisers, Center Consoles",60,Fiberglass
Southern Ocean Shipyard,Schooner,1979,96000,(888) 596-4260,Sails," Cruisers, Schooner",60,Fiberglass
GILLIKIN,60,1977,599000,(941) 914-9217,Power," Commercial Boats, Other",60,Wood
Ocean Alexander,60 Pilothouse,1985,190000,(800) 450-0660,Power, Pilothouse,60,Fiberglass
Lydia,CF-001,1974,1299000,(866) 461-6540,Power, Saltwater Fishing,60,Composite
Ferretti,175,1996,1095000,34952810066,Power, Flybridge,60,Fiberglass
HeySea,60,2016,179902,(866) 469-9640,Power, Motor Yachts,60,Fiberglass
Sundeer,60 sloop,1995,194900,(877) 502-1334,Sails," Cruisers, Cutter, Racers and Cruisers",60,Fiberglass
Sumerset,14 X 60 Sumerset,1988,179000,(877) 659-5877,Power, House Boats,60,Aluminum
Jefferson,Marquessa 60 MY,1988,379500,(888) 352-9010,Power," Motor Yachts, Flybridge, Trawlers",60,Fiberglass
Hatteras,60 Convertible,1985,99900,(888) 668-8842,Power," Convertible Boats, Sports Fishing Boats",60,Fiberglass
Sea Ray,60 Sundancer,2007,679000,(888) 477-6301,Power," Cruisers, Express Cruiser",60,Fiberglass
Viking,60 Cockpit Sports Yacht,1995,199900,(888) 598-9746,Power," Motor Yachts, Trawlers, Flybridge",60,Fiberglass
Bertram,60' Convertible,1998,109900,(305) 633-9761,Power, Convertible Boats,60,Fiberglass
Custom George Buehler,60 Pilothouse Sloop,2005,599000,(866) 220-9319,Sails," Pilothouse, Sloop, Motorsailers",60,Wood
Hatteras,"GT 60""",2011,229990,(866) 269-0990,Power," Sports Fishing Boats, Convertible Boats",60,Fiberglass
Bernard Ferdinand,Gaff Schooner,1966,82500,(866) 220-9319,Sails," Schooner, Antique and Classics, Schooner",60,Wood
Prestige,60 Motor Yacht,2011,329000,(855) 241-0424,Power, Motor Yachts,60,Composite
Cantieri di fiumicino,Alfamarine,2000,4500,(888) 573-4258,Power, Express Cruiser,60,Fiberglass
Riviera,ENCLOSED FLYBRIDGE,2005,179000,(888) 245-1418,Power," Sports Fishing Boats, Saltwater Fishing, Convertible Boats",60,Fiberglass
Sunseeker,Manhattan 60,2008,995000,(888) 855-8041,Power, Flybridge,60,Fiberglass
Bertram,60,2000,159000,(941) 914-9217,Power," Sports Fishing Boats, Other",60,Fiberglass
Sea Ray,60 Sundancer,2007,741078,(855) 241-0424,Power, Motor Yachts,60,Fiberglass
Hatteras,60 Sportfish,1979,189000,(888) 722-7490,Power," Sports Fishing Boats, Flybridge",60,Fiberglass
Sea Ray,Super Sun Sport,2003,180000,(855) 241-0424,Power, Express Cruiser,60,Fiberglass
Jeanerette,V-Hull Double Deck Custom Made,1973,490000,(866) 292-8095,Power," House Boats, Aft Cabin",60,Aluminum
Hatteras,Sportfish,1999,529000,(888) 810-9073,Power, Sports Fishing Boats,60,Fiberglass
Custom,Proven Racing Sailboat,1994,119999,(866) 461-6540,Sails, Commercial Boats,60,Composite
Starlite,60X15,2009,169500,(888) 280-9516,Power, House Boats,60,Aluminum
Sunseeker,Manhattan 55,2014,447900,(877) 849-4395,Power, Flybridge,60,Fiberglass
Hatteras,60 Convertible,1999,112500,(888) 573-4258,Power," Sports Fishing Boats, Saltwater Fishing, Flybridge",60,Fiberglass
GT Davis,Sportfish,1997,219000,(888) 891-8564,Power, Sports Fishing Boats,60,Fiberglass
Stardust,Multi Owner Houseboat,1996,499000,(866) 435-5997,Power, House Boats,60,Aluminum
Lakeview,1999 15' x 60' House Boat,1999,169900,(877) 625-3312,Power, House Boats,60,Aluminum
Hatteras,Enclosed Bridge,2002,699000,(866) 594-5122,Power," Convertible Boats, Flybridge, Sports Fishing Boats",60,Fiberglass
H&Z;,60 IF,2015,129900,(888) 669-8459,Power, Express Cruiser,60,Composite
Hatteras,Convertible,2001,1100000,(855) 405-6323,Power, Saltwater Fishing,60,Fiberglass
GILLIKIN,60 Pilot House Motor Yacht,1964,220000,(866) 220-9319,Power," Trawlers, Motor Yachts, Pilothouse",60,Fiberglass
Horizon,16x60 widebody with bow and stern thrusters,2004,44500,(888) 393-2055,Power, House Boats,60,Aluminum
Sea Ray,"Sun Sport with LIFT,Thruster",2005,900000,(772) 214-2393,Power," Express Cruiser, Cruisers",60,Fiberglass
Pacemaker,60,1967,200000,(941) 914-9217,Power," Other, Mega Yachts",60,Wood
Sunseeker,Predator 60,2012,559900,(888) 855-8041,Power," Cruisers, Express Cruiser",60,Fiberglass
Maritimo,M60 Convertible Sportfish,2007,1480000,(888) 573-4258,Power," Convertible Boats, Sports Fishing Boats",60,Fiberglass
Jefferson,60 Marquessa,1987,1495000,(888) 889-4244,Power, Motor Yachts,60,Fiberglass
Aluminum Cruiser,60 George Garcia,2004,179900,(888) 281-2678,Power," Power Catamarans, House Boats, Trawlers",60,Aluminum
Hampton Yachts,60 Richardson,2000,550000,(888) 573-4258,Power," Motor Yachts, Pilothouse",60,Fiberglass
Somerset,1,1985,1000,"
                (770) 380-3000        ",Power, Houseboat,60,ALUMINUM
Aqua Bay Marine,Custom Sport Fish,2003,127000,(877) 862-1334,Power," Sports Fishing Boats, Commercial Boats",60,Fiberglass
Custom,58,1997,49900,(941) 914-9217,Power," House Boats, Other",60,Steel
Custom,Artic Research Vessel,2004,85900,(866) 461-6540,Power, Commercial Boats,60,Aluminum
Hatteras,60 Convertible,2000,199900,(877) 564-3671,Power," Sports Fishing Boats, Convertible Boats",60,Fiberglass
Cantieri di Sarnico,Opera,2008,902495,(866) 469-9640,Power," Cruisers, Commercial Boats",60,Fiberglass
Azimut,Flybridge,2012,195000,(877) 421-7681,Power, Flybridge,60,Fiberglass
Bertram,60' Convertible,2002,229500,(772) 260-1628,Power, Sports Fishing Boats,60,Fiberglass
Morgan,60 Center Cockpit,1983,49900,(866) 469-9640,Sails," Center Cockpit, Cruisers",60,Fiberglass
DEFENDER,60,2008,99000,(941) 914-9217,Power," Other, Other",60,Other
Hatteras,Convertible Enclosed Bridge,1980,25000,(888) 474-7027,Power, Convertible Boats,60,Fiberglass
Bluewater Yachts,60C Diesel,1992,331775,(941) 914-9217,Power," Other, House Boats",60,Fiberglass
Sunseeker,MANHATTAN,2007,239500,(888) 855-8041,Power, Cruisers,60,Fiberglass
Hatteras,Convertible,2004,194900,(877) 568-1468,Power, Convertible Boats,60,Fiberglass
Nova,60' Cockpit Motoryacht,1988,799000,(877) 657-2443,Power," Motor Yachts, Aft Cabin, Flybridge",60,Fiberglass
Grand Alaskan,Raised Pilot House,1998,209000,(866) 469-9640,Power," Trawlers, Pilothouse",60,Fiberglass
Maritimo,C60 Sports Cabriolet,2011,245000,(877) 384-8237,Power," Cruisers, Motor Yachts",60,Fiberglass
Viking Yachts,Cockpit Sport Yacht,1996,685000,(877) 706-2464,Power," Motor Yachts, Flybridge",60,Fiberglass
Custom,Trawler,1994,449000,(866) 461-6540,Power, Trawlers,60,Steel
Bertram,60 Convertible,1995,196900,(866) 202-6680,Power," Convertible Boats, Flybridge",60,Fiberglass
Somerset,6014,1987,1395000,(855) 218-5606,Power, House Boats,60,Aluminum
Custom,Car Ferry,1931,249900,(866) 461-6540,Power, Commercial Boats,60,Steel
Harley Boat Co,super Sport,1996,269900,"
                (305) 940-7191        ",Power, Express Cruiser,60,FIBERGLASS/COMPOSITE
Prestige,550,2014,245000,(866) 725-7495,Power," Motor Yachts, Flybridge",59,Fiberglass
Marquis,59,2005,1599000,(888) 477-6301,Power," Motor Yachts, Flybridge",59,Fiberglass
Marquis  Stabilized,59,2007,185000,(561) 296-9800,Power, Motor Yachts,59,Fiberglass
Marquis,59,2006,49900,(888) 573-4258,Power," Motor Yachts, Flybridge, Pilothouse",59,Fiberglass
Pluckebaum,Raised Pilothouse,2004,29995,(888) 332-7577,Power," Motor Yachts, Flybridge, Pilothouse",59,Aluminum
Marquis,59 Motor Yacht Freshwater,2004,699000,(888) 477-6301,Power," Motor Yachts, Sports Cruiser, Flybridge",59,Fiberglass
Fairline,Squadron 58',2003,339000,34952810066,Power, Flybridge,59,Fiberglass
Sea Ray,585 Sedan Bridge,2005,249000,34952810066,Power, Flybridge,59,Fiberglass
Carver,570 Voyager Pilothouse,2001,199900,(888) 715-9664,Power, Motor Yachts,59,Fiberglass
Marquis,Motor Yacht,2004,549000,(877) 564-7945,Power, Motor Yachts,59,Fiberglass
Grand Banks,59 Aleutian RP,2007,375000,(866) 729-2520,Power, Motor Yachts,59,Fiberglass
Lakeview Yachts,59,1996,185000,"
                (217) 259-5180        ",Power, Houseboat,59,ALUMINUM
Gibson,5900 Wide Body,2006,169900,(888) 573-4258,Power," House Boats, House Boats, Flybridge",59,Fiberglass
Marquis,59,2004,596061,(888) 474-7027,Power, Motor Yachts,59,Fiberglass
Marquis,Motor Yacht,2007,127000,(863) 514-3752,Power, Motor Yachts,59,Fiberglass
Ferretti,590,2004,119000,34952810066,Power, Flybridge,59,Fiberglass
Sea Ray,58 Sedan Bridge,2008,24900,(866) 621-2910,Power, Motor Yachts,59,Fiberglass
Pershing,58',2011,449000,3.86E+11,Power, Express Cruiser,59,Other
Gibson,5900 LS,2000,1595000,(561) 303-5663,Power," House Boats, Trawlers, Pilothouse",59,Fiberglass
Bluewater Yachts,59' Costal Cruiser,1989,725000,(888) 716-5495,Power, Motor Yachts,59,Fiberglass
